App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Primary Genres,Secondary Genres
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19000000.0,10000,Free,0.0,1,Art & Design,7-Jan-18,1.0.0,4.0.3 and up,Art & Design,
Coloring book moana,ART_AND_DESIGN,3.9,967,14000000.0,500000,Free,0.0,1,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up,Art & Design,Pretend Play
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8700000.0,5000000,Free,0.0,1,Art & Design,1-Aug-18,1.2.4,4.0.3 and up,Art & Design,
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25000000.0,50000000,Free,0.0,2,Art & Design,8-Jun-18,Varies with device,4.2 and up,Art & Design,
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2800000.0,100000,Free,0.0,1,Art & Design;Creativity,20-Jun-18,1.1,4.4 and up,Art & Design,Creativity
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5600000.0,50000,Free,0.0,1,Art & Design,26-Mar-17,1,2.3 and up,Art & Design,
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19000000.0,50000,Free,0.0,1,Art & Design,26-Apr-18,1.1,4.0.3 and up,Art & Design,
Infinite Painter,ART_AND_DESIGN,4.1,36815,29000000.0,1000000,Free,0.0,1,Art & Design,14-Jun-18,6.1.61.1,4.2 and up,Art & Design,
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33000000.0,1000000,Free,0.0,1,Art & Design,20-Sep-17,2.9.2,3.0 and up,Art & Design,
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3100000.0,10000,Free,0.0,1,Art & Design;Creativity,3-Jul-18,2.8,4.0.3 and up,Art & Design,Creativity
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28000000.0,1000000,Free,0.0,1,Art & Design,27-Oct-17,1.0.4,4.1 and up,Art & Design,
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12000000.0,1000000,Free,0.0,1,Art & Design,31-Jul-18,1.0.15,4.0 and up,Art & Design,
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20000000.0,10000000,Free,0.0,2,Art & Design,2-Apr-18,3.8,4.1 and up,Art & Design,
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21000000.0,100000,Free,0.0,1,Art & Design,26-Jun-18,1.0.4,4.4 and up,Art & Design,
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37000000.0,100000,Free,0.0,1,Art & Design,3-Aug-18,1.2.3,2.3 and up,Art & Design,
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2700000.0,5000,Free,0.0,1,Art & Design,6-Jun-18,,4.2 and up,Art & Design,
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5500000.0,500000,Free,0.0,1,Art & Design,31-Jul-18,3.1,4.1 and up,Art & Design,
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17000000.0,10000,Free,0.0,1,Art & Design,7-Nov-17,1,2.3 and up,Art & Design,
